	word	score_pc	score_warriner	label	session
0	limousine	-1.4783411251765788	6.14	pos	1
1	new	-1.2313279950095668	7.68	pos	1
2	lake	-1.5151286486205267	7.13	pos	1
3	garden	-2.367322110787632	7.25	pos	1
4	lemonade	-2.146343780688921	7.05	pos	1
5	love	-2.40140153221556	8.0	pos	1
6	moral	-1.1443669013398097	6.85	pos	1
7	boat	-1.0613549170130714	6.36	pos	1
8	kiss	-2.8785481086132907	7.78	pos	1
9	fun	-3.2613064969771033	8.37	pos	1
10	wealthy	-1.8465637543339983	6.37	pos	1
11	pie	-2.2727319315779937	6.45	pos	1
12	sled	-1.9273821271493088	6.35	pos	1
13	plum	-1.1648995537800455	6.15	pos	1
14	happy	-3.1501939707833047	8.47	pos	1
15	woman	-1.7483058493195842	7.09	pos	1
16	zoo	-2.1296901000704778	7.0	pos	1
17	beach	-2.8031613090757777	7.21	pos	1
18	oak	-1.0543324261381863	6.47	pos	1
19	pineapple	-1.6708771386143015	6.9	pos	1
0	meeting	0.7573178762670367	4.55	neg	1
1	hurricane	3.648586845460279	3.16	neg	1
2	avalanche	3.2148840110758776	4.0	neg	1
3	deceit	4.314775126713813	2.89	neg	1
4	policeman	0.39704266876398797	4.21	neg	1
5	lonely	4.010420717126171	2.67	neg	1
6	diplomat	0.13451130194660302	4.65	neg	1
7	gasp	1.30141616444295	4.5	neg	1
8	aggressive	2.1668511657678917	3.08	neg	1
9	victim	3.4575306614509986	2.05	neg	1
10	hospital	2.561630339716405	3.52	neg	1
11	commander	0.9884367115841899	4.73	neg	1
12	alligator	1.901418767555682	4.23	neg	1
13	envy	3.369799436284539	3.05	neg	1
14	mouse	1.590682293604996	4.8	neg	1
15	plot	0.20169636218389156	4.9	neg	1
16	sandpaper	0.5814463879932942	4.95	neg	1
17	bribe	2.3815246085651833	3.32	neg	1
18	tornado	3.6605330306018913	3.63	neg	1
19	jury	1.7036686386059527	4.23	neg	1
0	treaty	-0.7213913907893977	5.42	neu	1
1	tomato	-1.3575770021145472	5.8	neu	1
2	embassy	-0.05916451699915906	5.3	neu	1
3	tourist	-0.31568469709749714	5.71	neu	1
4	hamster	-1.1856791528275217	5.88	neu	1
5	fence	0.3759356543037889	5.05	neu	1
6	spatula	-0.18281188470513857	5.14	neu	1
7	corkscrew	-0.3369766028281135	5.26	neu	1
8	field	-0.999075983818647	5.73	neu	1
9	whale	-0.8455595735963974	5.81	neu	1
10	school	0.26215401176465297	5.41	neu	1
11	keyboard	-0.08455950357770388	5.17	neu	1
12	beer	-0.9222259722889369	5.67	neu	1
13	truck	-0.590728555657787	5.16	neu	1
14	noun	0.11872473318936594	5.22	neu	1
15	rocket	-0.17528733847197087	5.8	neu	1
16	famous	-0.8050043475134195	5.89	neu	1
17	fiddle	-1.0601571884744718	5.05	neu	1
18	bridge	0.1935892361901769	5.44	neu	1
19	man	-0.277657621999038	5.42	neu	1
20	artist	-1.2978987804410356	6.76	pos	2
21	knowledge	-1.6425048482978826	7.28	pos	2
22	luck	-2.2291915044129413	6.73	pos	2
23	carnival	-2.4114282062334524	6.48	pos	2
24	tree	-1.3695211950901562	7.59	pos	2
25	vacation	-3.1565376907491283	8.53	pos	2
26	piano	-1.7947555393350414	6.4	pos	2
27	barbecue	-2.574622875741758	7.1	pos	2
28	chicken	-1.3205598447631597	6.17	pos	2
29	mercy	-1.0752281295040744	6.4	pos	2
30	restaurant	-2.0702836690965865	6.95	pos	2
31	summer	-1.7608811602119443	7.5	pos	2
32	embrace	-2.461915733068042	7.0	pos	2
33	musical	-1.350364278944703	7.68	pos	2
34	sailboat	-1.5621536719325724	6.81	pos	2
35	fireworks	-1.9260561957693947	6.8	pos	2
36	joke	-1.8879163634684628	7.88	pos	2
37	optimism	-2.7563434535584275	7.21	pos	2
38	spaghetti	-1.7539828459428422	6.91	pos	2
39	day	-1.2502658664257256	6.36	pos	2
20	sick	3.4738609063027233	2.29	neg	2
21	jaw	0.16339675594021513	4.41	neg	2
22	excuse	2.3733881187925636	4.52	neg	2
23	cough	2.483224745184551	3.57	neg	2
24	ricochet	1.0482300490198866	4.75	neg	2
25	plea	2.1664812817764476	4.35	neg	2
26	perjury	3.2228935441004514	2.95	neg	2
27	stone	0.5494484707734639	4.81	neg	2
28	angry	3.4296451702105393	2.53	neg	2
29	tired	2.3518780206710375	4.29	neg	2
30	hoe	0.2623575316864496	4.8	neg	2
31	landslide	3.5617173155694415	4.76	neg	2
32	office	0.6502198887451732	4.54	neg	2
33	heavy	1.3393636650983416	4.78	neg	2
34	problem	4.02985566434138	3.52	neg	2
35	terrorist	4.537930167489568	2.35	neg	2
36	axe	0.7321109855355353	3.48	neg	2
37	van	-0.14866519221167077	4.43	neg	2
38	clang	1.472290472628449	4.1	neg	2
39	lab	0.2032181950076048	4.57	neg	2
20	toaster	-0.5451009915059291	5.8	neu	2
21	pan	0.3296196251321362	5.15	neu	2
22	highway	0.650019808676411	5.19	neu	2
23	street	0.3228926581020319	5.07	neu	2
24	theory	0.1106807997481866	5.65	neu	2
25	store	-0.8400509032218062	5.94	neu	2
26	camel	0.0657349158769076	5.29	neu	2
27	scissors	0.4272037094573085	5.03	neu	2
28	winter	0.3495373155897487	5.5	neu	2
29	power	-0.02119054453060663	5.97	neu	2
30	eggplant	-0.09980687036967174	5.55	neu	2
31	verb	0.17918122123944408	5.27	neu	2
32	nose	-0.04989279383390664	5.5	neu	2
33	speech	-0.18776275500974607	5.62	neu	2
34	asparagus	-0.34443889393116306	5.43	neu	2
35	business	-0.06058349899147484	5.48	neu	2
36	whole	0.10630403813009669	5.86	neu	2
37	monkey	-0.6680004122251881	5.82	neu	2
38	attribute	-0.32263149533554664	5.67	neu	2
39	apartment	-0.5485436049411244	5.72	neu	2
40	joy	-3.230607919269787	8.21	pos	3
41	butterfly	-2.484088237918995	7.23	pos	3
42	island	-1.7760144816699572	7.18	pos	3
43	family	-1.6019047514101912	7.25	pos	3
44	goldfish	-1.0930411682114536	6.62	pos	3
45	car	-1.4106928476010352	6.63	pos	3
46	saxophone	-1.100912149643323	6.32	pos	3
47	raspberry	-1.4443598905895145	7.3	pos	3
48	hope	-2.2287379941340997	7.48	pos	3
49	park	-1.9950971558262764	7.0	pos	3
50	fountain	-2.0727743906520253	6.26	pos	3
